"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"ENSG00000000003",48.8044338734544,0.170702081142503,0.414757136643999,0.411571172768085,0.680653764446035,0.810690897286032,"TSPAN6","7105"
"ENSG00000000005",0,NA,NA,NA,NA,NA,"TNMD","64102"
"ENSG00000000419",924.604091463168,0.0406742705860728,0.230251548926308,0.176651452621022,0.859782176226105,0.921699172860846,"DPM1","8813"
"ENSG00000000457",391.103138536781,1.00662153933531,0.180050738511017,5.59076595664017,2.26070127848412e-08,3.06765158091264e-07,"SCYL3","57147"
"ENSG00000000460",175.561259762799,-0.401997687004493,0.209056203535455,-1.92291680517539,0.0544904988893882,0.14044288864468,"FIRRM","55732"
"ENSG00000000938",10346.0801579608,-2.00789583417797,0.196101492044902,-10.2390645437732,1.32511359920109e-24,9.25884606697596e-23,"FGR","2268"
"ENSG00000000971",162.951460153486,0.8721302876386,0.335140028952615,2.60228624543656,0.00926045232562018,0.0331292268453969,"CFH","3075"
"ENSG00000001036",3993.09982748396,-0.0880368709410263,0.300869162454928,-0.292608488762004,0.769821424542114,0.869413032215304,"FUCA2","2519"
"ENSG00000001084",9034.26702893225,-3.31796233363301,0.207931252682769,-15.9570160369066,2.54617045302212e-57,9.17996295132593e-55,"GCLC","2729"
"ENSG00000001167",950.853611431287,-0.000901634458245663,0.263265352736414,-0.00342481245205249,0.997267400362795,0.998929789761633,"NFYA","4800"
"ENSG00000001460",146.036957428949,-0.632102035248045,0.444608645605166,-1.42170432693156,0.15511210348546,0.311197930174744,"STPG1","90529"
"ENSG00000001461",1033.15534117941,0.796522761718022,0.207980945767578,3.8297871892945,0.000128254125230318,0.000814958447489226,"NIPAL3","57185"
"ENSG00000001497",686.127982956478,-0.737074511844837,0.239801793114785,-3.07368223677971,0.00211434508029033,0.00938569287426589,"LAS1L","81887"
"ENSG00000001561",930.045909892226,1.09279243529356,0.316813280510035,3.44932647247075,0.000561986801825315,0.00297793535464578,"ENPP4","22875"
"ENSG00000001617",7.83148998699995,1.37087989738385,0.747326094799213,1.8343798067859,0.0665976349770221,0.164594950059059,"SEMA3F","6405"
"ENSG00000001626",8.43530572337009,-0.641636547442134,1.46870711456573,-0.436871681956722,0.662204409865438,0.798125218736662,"CFTR","1080"
"ENSG00000001629",1905.73277226284,1.07441017781971,0.32500482481855,3.30582839322326,0.000946960649119593,0.00468850854756356,"ANKIB1","54467"
"ENSG00000001630",4285.94345140458,-1.3525185580382,0.384667679187213,-3.51607018529869,0.00043798518573361,0.00239622426197869,"CYP51A1","1595"
"ENSG00000001631",1006.75693992552,0.502186841592787,0.287977732583822,1.74383914022455,0.0811871433529279,0.192043122060521,"KRIT1","889"
"ENSG00000002016",190.92734579846,-0.0591494192390209,0.285769202965991,-0.206983183020111,0.83602299211373,0.908913730809685,"RAD52","5893"
"ENSG00000002079",3.14661686796756,0.131056096945417,2.15798106725916,0.0607308835715926,0.951573535534726,0.974791228290099,"MYH16","84176"
"ENSG00000002330",481.643755737013,-0.239108677620134,0.403532552613456,-0.592538758203173,0.55348987489995,0.717974198279018,"BAD","572"
"ENSG00000002549",12860.611394266,3.10298959651547,0.255581043687221,12.140922314696,6.40994022858658e-34,7.70346616671535e-32,"LAP3","51056"
"ENSG00000002587",605.3727567306,-0.528026009945308,0.626181482230584,-0.843247564690628,0.399090001759722,0.587924233563672,"HS3ST1","9957"
"ENSG00000002726",142.602136087834,-0.294860105196972,0.922289614418922,-0.31970446222876,NA,NA,"AOC1","26"
"ENSG00000002745",0,NA,NA,NA,NA,NA,"WNT16","51384"
"ENSG00000002746",49.3377356606383,0.327699686769168,0.602228339014465,0.544145244485575,0.586341527894408,0.744879031673984,"HECW1","23072"
"ENSG00000002822",1438.77351779354,-0.977099200386956,0.212521683379093,-4.59764474312026,4.27293768768508e-06,3.7875260040548e-05,"MAD1L1","8379"
"ENSG00000002834",33917.5944205147,-1.11665276637794,0.338704869302253,-3.29683115769281,0.000977822645536053,0.00482144661681576,"LASP1","3927"
"ENSG00000002919",2270.74990723351,0.839706147515222,0.151179056433073,5.55438145552231,2.78596502537043e-08,3.71194320120863e-07,"SNX11","29916"
"ENSG00000002933",2256.11951556889,2.39953797018207,1.65484102793398,1.45001116704111,0.147055405190772,0.299784760320435,"TMEM176A","55365"
"ENSG00000003056",16077.183832938,-0.0952683303150109,0.348384241910233,-0.27345763342407,0.784501455221893,0.8776122901213,"M6PR","4074"
"ENSG00000003096",6.91922173401455,-3.05819946395262,1.12523174641741,-2.71783965719908,0.0065709673053109,0.0247141305263592,"KLHL13","90293"
"ENSG00000003137",0.643279647320056,2.00254733206921,2.51165633846888,0.797301486432641,0.425275957273644,NA,"CYP26B1","56603"
"ENSG00000003147",243.845261793443,-0.0195675516842686,0.435990116427879,-0.0448807230874589,0.964202382107567,0.981763055613456,"ICA1","3382"
"ENSG00000003249",27.6629250727959,-0.734802657851325,0.619786973140788,-1.18557293020809,0.23579099772521,0.416562555467696,"DBNDD1","79007"
"ENSG00000003393",1334.87840327957,0.330696014968496,0.239221372166138,1.38238490973469,0.166853547028543,0.328155017704947,"ALS2","57679"
"ENSG00000003400",1877.81079779347,1.8795918481852,0.429509668187548,4.37613396717409,1.20802784020469e-05,9.72626970762394e-05,"CASP10","843"
"ENSG00000003402",23964.2209563105,2.55027148459178,0.308725374535032,8.26064747166544,1.44884397459292e-16,4.99394078967239e-15,"CFLAR","8837"
